Service,Frequency
udp/40374,380
udp/37569,368
udp/49296,360
tcp/9098,356
udp/28358,356
8443,354
udp/59183,346
udp/59181,346
Marketo-Web,342
Cisco-NetBIOS.Session.Service,342
udp/53533,336
udp/54144,336
udp/56417,324
tcp/631,324
tcp/15061,320
udp/59195,320
Netskope-Netskope.Cloud,318
tcp/2217,318
udp/53531,314
Workday-Web,314
tcp/51413,314
udp/57443,312
Truecaller-Truecaller,312
Microsoft-Azure,310
udp/53529,306
tcp/44810,304
Adobe-NetBIOS.Session.Service,302
tcp/9055,298
tcp/39698,298
tcp/39800,296
eBay-Web,296
udp/50462,296
udp/63879,294
Cisco-Webex.FedRAMP,292
tcp/5055,292
Tencent-ICMP,290
Netflix-NetBIOS.Session.Service,288
NextDNS-NextDNS,284
eBay-Other,282
udp/58415,272
Performive-Performive.Cloud,266
SMTPS,266
udp/59222,266
POP3S,262
udp/53453,260
Malicious-Malicious.Server,258
tcp/10443,252
udp/50606,250
RingCentral-RingCentral,250
Atlassian-Atlassian.Notification,248
PayPal-Other,244
udp/33563,244
udp/50943,244
udp/50946,242
tcp/17430,242
udp/50608,242
udp/37003,242
udp/53882,238
OVHcloud-OVH.Telecom,232
udp/59843,228
udp/10013,226
udp/63524,226
RIP,224
VPN-Anonymous.VPN,220
tcp/2710,220
udp/363,216
SMTP,216
udp/50402,214
udp/51339,206
Quad9-Quad9.Standard.DNS,206
udp/64925,202
RSH,198
udp/46630,198
udp/51342,196
udp/53032,194
udp/52496,194
udp/51315,192
tcp/800,190
Kaspersky-Other,190
udp/50683,188
tcp/6447,188
tcp/5678,186
udp/14639,186
udp/55181,186
udp/51312,182
tcp/6568,182
tcp/48252,182
udp/50846,182
udp/179,182
tcp/12885,180
tcp/51033,180
tcp/51400,180
tcp/58899,180
tcp/58625,180
tcp/46803,180
udp/9039,176
udp/63203,176
udp/51345,176
mail.ru-NetBIOS.Session.Service,176
udp/63586,172
udp/56330,168
tcp/2087,168
tcp/4000,168
udp/646,166
tcp/7545,164
udp/50257,162
udp/11699,162
mail.ru-Web,162
udp/64947,162
udp/22040,160
udp/9803,158
udp/51696,158
udp/62234,156
Acronis-Cyber.Cloud,156
udp/56767,156
udp/11481,156
udp/17430,154
udp/64361,154
udp/58637,154
udp/58253,154
udp/51308,152
tcp/24488,152
tcp/21669,150
udp/6003,150
udp/60689,150
udp/45019,148
tcp/10254,148
tcp/23404,148
tcp/14807,148
tcp/7068,148
tcp/19633,146
HP-Other,146
tcp/8883,146
RDP,144
udp/55106,144
udp/55238,144
McAfee-NetBIOS.Session.Service,144
udp/63298,142
tcp/1024,142
tcp/43217,140
tcp/48160,140
udp/11814,140
udp/50429,138
udp/59879,138
udp/49528,136
udp/55781,136
TeamViewer-TeamViewer,136
Eventbrite-Web,134
tcp/45001,132
udp/45876,132
udp/62046,132
udp/62188,130
tcp/3801,130
Mimecast-Mimecast,130
udp/17673,128
udp/22739,128
udp/18680,128
udp/23868,128
udp/54455,128
udp/61902,126
udp/59926,126
tcp/30816,124
tcp/53259,122
MS-SQL,122
tcp/37000,122
udp/52389,120
udp/701,120
udp/54303,120
tcp/8443,120
udp/46095,120
udp/34638,120
Dropbox-NetBIOS.Session.Service,118
TrendMicro-Web,118
udp/56120,118
udp/63293,116
udp/57052,116
Restream-Restream.Platform,116
udp/43884,116
udp/34581,116
udp/60900,114
udp/49844,114
udp/27047,114
udp/54758,114
tcp/43159,114
udp/49371,112
udp/27914,112
udp/56287,112
udp/59444,110
udp/42462,110
udp/44740,108
eBay-NetBIOS.Session.Service,108
udp/51204,108
udp/53366,106
udp/37078,106
udp/54464,106
udp/49471,106
tcp/5555,102
